User_ID,Team,Type_of_System,Timestamp,Q1,Q2,Q3,Q4,Q5
BBRP,blue,recomendation,11/11/19 19:26,1,0,0,0,0
ROGI,blue,recomendation,11/11/19 19:26,1,0,1,0,1
G9T5,yellow,search,11/11/19 19:27,1,1,0,0,1
C2MH,red,recomendation,11/11/19 19:27,1,1,0,0,0
BBRP,blue,recomendation,11/11/19 19:27,1,0,0,0,0
BBRP,blue,recomendation,11/11/19 19:27,1,0,0,0,0
ES3R,yellow,search,11/11/19 19:27,0,1,0,0,0
DJEG,yellow,search,11/11/19 19:27,1,1,0,1,0
BBRP,blue,recomendation,11/11/19 19:27,0,1,0,0,0
ROGI,blue,recomendation,11/11/19 19:27,0,0,0,1,1
M3VR,blue,recomendation,11/11/19 19:27,1,0,0,0,0
G9T5,yellow,search,11/11/19 19:27,0,1,1,0,0
NOSO,yellow,search,11/11/19 19:27,1,0,1,0,0
OJWB,red,recomendation,11/11/19 19:27,0,1,0,0,0
801Z,red,recomendation,11/11/19 19:27,1,0,0,0,0
JNMM,red,recomendation,11/11/19 19:27,1,1,0,0,1
01UI,green,search,11/11/19 19:28,0,1,0,0,1
DJEG,yellow,search,11/11/19 19:28,1,1,0,0,0
ZCNM,yellow,search,11/11/19 19:28,1,1,0,0,0
BBRP,blue,recomendation,11/11/19 19:28,1,0,0,0,0
G9T5,yellow,search,11/11/19 19:28,0,1,0,0,0
801Z,red,recomendation,11/11/19 19:28,0,1,0,0,0
5ITM,green,search,11/11/19 19:28,1,0,1,1,0
ROGI,blue,recomendation,11/11/19 19:28,1,0,1,0,1
01UI,green,search,11/11/19 19:28,1,1,0,0,0
DJEG,yellow,search,11/11/19 19:28,1,1,0,0,0
801Z,red,recomendation,11/11/19 19:28,0,0,0,1,0
OJWB,red,recomendation,11/11/19 19:28,0,0,0,0,1
NP3J,green,search,11/11/19 19:28,1,0,0,0,1
WOTF,green,search,11/11/19 19:28,1,1,0,0,0
IKBJ,yellow,search,11/11/19 19:28,1,1,0,0,0
ROGI,blue,recomendation,11/11/19 19:28,1,0,1,0,1
801Z,red,recomendation,11/11/19 19:28,0,0,1,0,0
ES3R,yellow,search,11/11/19 19:28,1,0,0,0,0
C2MH,red,recomendation,11/11/19 19:28,1,1,1,0,0
DJEG,yellow,search,11/11/19 19:29,1,1,0,0,0
DU58,green,search,11/11/19 19:29,0,0,0,0,1
ZCNM,yellow,search,11/11/19 19:29,1,0,0,0,1
D49Q,red,recomendation,11/11/19 19:29,1,1,0,0,0
M3VR,blue,recomendation,11/11/19 19:29,1,0,0,0,0
G9T5,yellow,search,11/11/19 19:29,0,0,0,1,0
QI92,green,search,11/11/19 19:29,1,1,0,1,0
9P3N,green,search,11/11/19 19:29,1,1,0,0,1
NOSO,yellow,search,11/11/19 19:29,1,0,0,0,1
801Z,red,recomendation,11/11/19 19:29,0,0,0,1,0
LKLR,green,search,11/11/19 19:29,0,0,0,1,1
JNMM,red,recomendation,11/11/19 19:29,1,1,0,0,0
9HVH,red,recomendation,11/11/19 19:29,1,0,0,0,0
01UI,green,search,11/11/19 19:29,1,0,0,0,0
N7P0,red,recomendation,11/11/19 19:29,1,0,0,0,0
ROGI,blue,recomendation,11/11/19 19:29,0,1,0,1,0
D49Q,red,recomendation,11/11/19 19:29,1,1,0,0,0
5ITM,green,search,11/11/19 19:29,1,1,0,0,1
DJEG,yellow,search,11/11/19 19:29,1,1,0,1,0
G9T5,yellow,search,11/11/19 19:29,0,0,1,1,1
M3VR,blue,recomendation,11/11/19 19:29,1,1,0,0,0
5MGY,yellow,search,11/11/19 19:29,1,1,0,0,1
C2MH,red,recomendation,11/11/19 19:29,0,1,1,0,0
2H6O,red,recomendation,11/11/19 19:29,1,1,0,0,1
ZUMP,blue,recomendation,11/11/19 19:29,1,1,0,0,0
45UW,blue,recomendation,11/11/19 19:29,0,1,0,0,1
OJWB,red,recomendation,11/11/19 19:29,0,1,0,0,1
CVVU,yellow,search,11/11/19 19:29,1,1,0,0,0
OAEG,blue,recomendation,11/11/19 19:29,1,1,0,0,0
M3VR,blue,recomendation,11/11/19 19:29,0,1,0,0,0
TJLN,green,search,11/11/19 19:29,1,1,0,0,1
JNMM,red,recomendation,11/11/19 19:29,0,1,0,0,1
OJWB,red,recomendation,11/11/19 19:30,0,0,0,1,0
WOTF,green,search,11/11/19 19:30,1,1,0,0,0
C2MH,red,recomendation,11/11/19 19:30,1,1,1,0,0
2H6O,red,recomendation,11/11/19 19:30,1,1,0,1,1
D49Q,red,recomendation,11/11/19 19:30,1,1,0,1,0
SK9V,green,search,11/11/19 19:30,1,1,1,0,1
9HVH,red,recomendation,11/11/19 19:30,0,1,0,0,0
NOSO,yellow,search,11/11/19 19:30,1,1,0,1,0
01UI,green,search,11/11/19 19:30,0,1,0,0,1
ES3R,yellow,search,11/11/19 19:30,0,1,0,0,0
OJWB,red,recomendation,11/11/19 19:30,1,0,1,0,1
FDGO,red,recomendation,11/11/19 19:30,1,1,0,0,0
JNMM,red,recomendation,11/11/19 19:30,1,1,0,0,1
5ITM,green,search,11/11/19 19:30,1,0,1,0,1
5MGY,yellow,search,11/11/19 19:30,1,1,0,0,0
BBRP,blue,search,11/11/19 19:30,0,0,0,0,1
9P3N,green,search,11/11/19 19:30,1,1,0,0,0
D49Q,red,recomendation,11/11/19 19:30,1,1,0,0,0
BBRP,blue,search,11/11/19 19:30,0,0,1,0,0
2H6O,red,recomendation,11/11/19 19:30,1,1,1,0,0
QDRT,green,search,11/11/19 19:30,1,1,0,0,0
M3VR,blue,recomendation,11/11/19 19:30,1,0,0,0,0
8IVJ,yellow,search,11/11/19 19:30,0,1,0,1,0
C2MH,red,recomendation,11/11/19 19:30,1,1,0,1,0
NP3J,green,search,11/11/19 19:31,1,1,0,0,0
ZUMP,blue,recomendation,11/11/19 19:31,1,1,1,0,0
BBRP,blue,search,11/11/19 19:31,1,0,0,0,0
WOTF,green,search,11/11/19 19:31,1,0,0,1,0
JNMM,red,recomendation,11/11/19 19:31,1,1,0,0,0
2H6O,red,recomendation,11/11/19 19:31,1,1,0,0,1
9P3N,green,search,11/11/19 19:31,1,1,0,0,0
D49Q,red,recomendation,11/11/19 19:31,1,1,1,0,1
CVVU,yellow,search,11/11/19 19:31,1,1,0,1,1
FDGO,red,recomendation,11/11/19 19:31,1,1,0,0,0
801Z,red,search,11/11/19 19:31,0,1,0,0,0
N7P0,red,recomendation,11/11/19 19:31,1,1,1,0,0
01UI,green,search,11/11/19 19:31,0,0,0,1,1
BBRP,blue,search,11/11/19 19:31,0,0,0,0,1
G9T5,yellow,recomendation,11/11/19 19:31,1,1,0,0,0
9HVH,red,recomendation,11/11/19 19:31,0,0,1,0,0
HSWX,blue,recomendation,11/11/19 19:31,1,0,0,0,0
LHQ5,blue,recomendation,11/11/19 19:31,1,1,0,0,0
FDGO,red,recomendation,11/11/19 19:31,1,1,0,0,0
NP3J,green,search,11/11/19 19:31,1,1,0,0,0
TJLN,green,search,11/11/19 19:31,0,1,0,1,0
45UW,blue,recomendation,11/11/19 19:31,1,1,0,0,0
ES3R,yellow,search,11/11/19 19:31,0,1,0,0,1
QI92,green,search,11/11/19 19:31,0,1,0,0,0
ZUMP,blue,recomendation,11/11/19 19:31,1,1,0,0,1
801Z,red,search,11/11/19 19:31,0,0,1,0,0
2H6O,red,recomendation,11/11/19 19:31,1,1,1,0,0
BBRP,blue,search,11/11/19 19:31,1,0,0,0,0
5MGY,yellow,search,11/11/19 19:31,1,1,0,0,0
FDGO,red,recomendation,11/11/19 19:31,0,1,0,0,0
LKLR,green,search,11/11/19 19:32,1,1,0,1,0
G9T5,yellow,recomendation,11/11/19 19:32,1,0,1,1,0
801Z,red,search,11/11/19 19:32,0,0,1,0,0
9HVH,red,recomendation,11/11/19 19:32,1,1,0,0,0
FDGO,red,recomendation,11/11/19 19:32,0,1,0,0,0
NP3J,green,search,11/11/19 19:32,1,1,0,0,0
NOSO,yellow,search,11/11/19 19:32,0,0,0,0,1
DJEG,yellow,recomendation,11/11/19 19:32,1,1,0,0,1
801Z,red,search,11/11/19 19:32,0,0,0,1,0
IKBJ,yellow,search,11/11/19 19:32,1,1,0,0,0
G9T5,yellow,recomendation,11/11/19 19:32,1,1,0,0,0
9P3N,green,search,11/11/19 19:32,0,1,0,0,0
8IVJ,yellow,search,11/11/19 19:32,0,0,0,0,1
TYNN,yellow,search,11/11/19 19:32,0,1,1,0,0
DJEG,yellow,recomendation,11/11/19 19:32,1,1,0,0,1
QDRT,green,search,11/11/19 19:32,0,1,0,0,0
LHQ5,blue,recomendation,11/11/19 19:32,1,1,1,0,0
801Z,red,search,11/11/19 19:32,1,0,0,0,0
ROGI,blue,search,11/11/19 19:32,1,1,0,0,1
G9T5,yellow,recomendation,11/11/19 19:32,1,0,1,1,0
WOTF,green,search,11/11/19 19:32,1,1,0,0,1
ZUMP,blue,recomendation,11/11/19 19:32,1,1,0,0,0
C5ZL,blue,recomendation,11/11/19 19:32,1,0,0,0,0
G9T5,yellow,recomendation,11/11/19 19:33,1,1,0,0,0
TJLN,green,search,11/11/19 19:33,1,1,0,1,0
DU58,green,search,11/11/19 19:33,1,0,0,0,0
ZCNM,yellow,search,11/11/19 19:33,0,0,0,0,1
N7P0,red,recomendation,11/11/19 19:33,0,0,1,0,0
5MGY,yellow,search,11/11/19 19:33,0,1,0,1,0
9HVH,red,recomendation,11/11/19 19:33,0,1,0,0,0
9P3N,green,search,11/11/19 19:33,0,1,0,0,0
