User_ID,team,timestamp,Q1_search,Q1_recome,Q2_search,Q2_recome,Q3_search,Q3_recome,Q4_search,Q4_recome,Q5_search,Q5_recome,Q6_search,Q6_recome
JNMM,red,2019-11-11 19:33:04,6,4,4,88,2,50,15,5,5,82,2,48
ROGI,blue,2019-11-11 19:34:11,100,100,100,12,12,15,100,100,50,11,13,15
SK9V,green,2019-11-11 19:35:08,30,30,100,43,74,9,81,89,100,5,74,20
BBRP,blue,2019-11-11 19:37:14,29,13,4,87,72,8,75,78,86,20,71,10
OAEG,blue,2019-11-11 19:37:58,39,26,26,98,35,5,74,97,65,7,44,9
OJWB,red,2019-11-11 19:38:24,32,31,100,100,100,2,89,100,100,6,100,2
NOSO,yellow,2019-11-11 19:39:06,100,100,100,5,100,4,5,4,3,100,7,100
DU58,green,2019-11-11 19:39:24,51,34,48,26,100,47,74,58,51,76,100,47
ES3R,yellow,2019-11-11 19:39:27,21,33,19,86,100,23,81,82,100,13,100,38
WOTF,green,2019-11-11 19:39:38,23,13,30,71,69,14,34,14,22,90,69,16
QDRT,green,2019-11-11 19:39:54,72,86,87,27,97,8,84,97,71,25,97,8
01UI,green,2019-11-11 19:40:37,45,44,44,1,100,14,100,100,100,12,74,21
G9T5,yellow,2019-11-11 19:40:47,74,74,96,33,100,51,74,78,91,33,100,52
M3VR,blue,2019-11-11 19:40:54,47,42,47,50,78,100,68,42,37,50,78,100
DJEG,yellow,2019-11-11 19:41:38,21,10,8,92,11,79,73,76,79,34,68,27
ZUMP,blue,2019-11-11 19:42:04,21,35,36,90,18,82,76,75,76,26,77,44
45UW,blue,2019-11-11 19:42:32,46,61,63,5,5,27,52,62,57,5,7,28
N7P0,red,2019-11-11 19:42:36,61,61,83,72,71,93,71,61,63,72,71,93
IKBJ,yellow,2019-11-11 19:42:36,40,51,70,53,75,25,71,74,71,76,75,30
NP3J,green,2019-11-11 19:43:03,54,62,82,23,25,35,69,69,47,74,88,35
TDFS,blue,2019-11-11 19:43:15,21,10,8,70,75,14,80,79,77,25,75,14
FGGG,blue,2019-11-11 19:43:59,91,92,93,76,86,87,94,92,93,77,86,87
QI92,green,2019-11-11 19:44:13,20,18,8,88,96,8,81,68,91,52,96,9
CVVU,yellow,2019-11-11 19:44:25,60,80,90,43,100,2,40,51,40,80,84,58
D49Q,red,2019-11-11 19:45:02,73,66,75,48,87,61,62,70,41,70,87,68
C2MH,red,2019-11-11 19:45:09,29,39,26,25,100,42,93,82,55,39,100,66
9HVH,red,2019-11-11 19:45:36,91,90,93,82,91,94,94,96,98,83,97,90
801Z,red,2019-11-11 19:45:55,46,22,50,100,45,48,91,95,69,26,73,25
LHQ5,blue,2019-11-11 19:47:52,34,33,10,100,100,7,76,70,94,60,100,7
FDGO,red,2019-11-11 19:47:59,57,44,10,89,80,15,86,76,89,21,84,18
9P3N,green,2019-11-11 19:48:35,15,10,10,90,31,21,75,80,50,25,70,11
ZCNM,yellow,2019-11-11 19:48:55,47,16,60,2,17,3,47,79,56,2,100,8
5ITM,green,2019-11-11 19:49:45,82,75,75,25,100,30,80,75,80,20,100,30
8IVJ,yellow,2019-11-11 19:50:20,50,20,25,80,100,49,78,30,80,41,100,66
TJLN,green,2019-11-11 19:50:21,12,8,63,100,79,1,88,84,37,65,79,1
C5ZL,blue,2019-11-11 19:50:59,69,74,32,67,100,3,45,60,32,26,100,3
HSWX,blue,2019-11-11 19:51:42,51,78,61,75,90,68,44,44,21,32,32,41
TYNN,yellow,2019-11-11 19:55:15,3,7,11,78,100,3,49,58,47,15,100,2
2H6O,red,2019-11-11 20:01:21,27,71,25,71,73,100,42,74,38,50,38,29
5MGY,yellow,2019-11-11 20:07:59,17,38,17,63,28,72,29,47,23,47,37,40
OH12,red,2019-11-11 20:11:42,3,18,9,40,6,35,11,39,7,29,9,28
LKLR,green,2019-11-11 20:15:35,61,92,38,72,48,82,73,84,72,100,72,100
