G9T5,yellow,2019-11-11 19:25:37,computer architecture,searchbox,,,,,,,,,,,,,
BBRP,blue,2019-11-11 19:25:41,Computer science,direct,,,,,,,,,,,,,
JNMM,red,2019-11-11 19:25:45,Evidence based medicine,direct,,,,,,,,,,,,,
BBRP,blue,2019-11-11 19:25:50,Machine learning,similar,,,,,,,,,,,,,
SK9V,green,2019-11-11 19:25:50,artificial intelligence,searchbox,,,,,,,,,,,,,
JNMM,red,2019-11-11 19:25:52,Health care,direct,,,,,,,,,,,,,
ROGI,blue,2019-11-11 19:25:53,Computer architecture,direct,,,,,,,,,,,,,
BBRP,blue,2019-11-11 19:25:55,Artificial intelligence,similar,,,,,,,,,,,,,
G9T5,yellow,2019-11-11 19:26:01,computer architecture faculty,searchbox,,,,,,,,,,,,,
G9T5,yellow,2019-11-11 19:26:03,computer architecture faculty,searchbox,,,,,,,,,,,,,
BBRP,blue,2019-11-11 19:26:07,Visual analytics,direct,,,,,,,,,,,,,
NOSO,yellow,2019-11-11 19:26:11,computer architecture,searchbox,,,,,,,,,,,,,
C2MH,red,2019-11-11 19:26:11,Artificial intelligence,direct,,,,,,,,,,,,,
JNMM,red,2019-11-11 19:26:12,Mental disorder,direct,,,,,,,,,,,,,
ZCNM,yellow,2019-11-11 19:26:13,bioinformatics,searchbox,,,,,,,,,,,,,
ROGI,blue,2019-11-11 19:26:14,Operating system,similar,,,,,,,,,,,,,
NOSO,yellow,2019-11-11 19:26:18,computer architecture advisor,searchbox,,,,,,,,,,,,,
ROGI,blue,2019-11-11 19:26:18,Machine learning,similar,,,,,,,,,,,,,
JNMM,red,2019-11-11 19:26:19,Machine learning,similar,,,,,,,,,,,,,
BBRP,blue,2019-11-11 19:26:20,Neural network,similar,,,,,,,,,,,,,
NOSO,yellow,2019-11-11 19:26:20,computer architecture advisor,searchbox,,,,,,,,,,,,,
ZCNM,yellow,2019-11-11 19:26:21,biology,searchbox,,,,,,,,,,,,,
DU58,green,2019-11-11 19:26:21,artificial intelligence,searchbox,,,,,,,,,,,,,
ES3R,yellow,2019-11-11 19:26:33,computer architecture,searchbox,,,,,,,,,,,,,
JNMM,red,2019-11-11 19:26:36,Machine learning,remove,,,,,,,,,,,,,
OAEG,blue,2019-11-11 19:26:38,Computer architecture,direct,,,,,,,,,,,,,
01UI,green,2019-11-11 19:26:41,artificial intelligence,searchbox,,,,,,,,,,,,,
DJEG,yellow,2019-11-11 19:26:43,human computer interaction,searchbox,,,,,,,,,,,,,
M3VR,blue,2019-11-11 19:26:43,Computer architecture,direct,,,,,,,,,,,,,
WOTF,green,2019-11-11 19:26:46,artificial intelligince ,searchbox,,,,,,,,,,,,,
JNMM,red,2019-11-11 19:26:46,Artificial intelligence,details,,,,,,,,,,,,,
WOTF,green,2019-11-11 19:26:50,artificial intelligence ,searchbox,,,,,,,,,,,,,
2H6O,red,2019-11-11 19:26:51,Spoken language,direct,,,,,,,,,,,,,
ZUMP,blue,2019-11-11 19:26:52,Computer architecture,direct,,,,,,,,,,,,,
ROGI,blue,2019-11-11 19:26:52,Operating system,remove,,,,,,,,,,,,,
OJWB,red,2019-11-11 19:26:53,Machine learning,direct,,,,,,,,,,,,,
QDRT,green,2019-11-11 19:26:58,artificial intellegence,searchbox,,,,,,,,,,,,,
ROGI,blue,2019-11-11 19:27:02,Deep learning,similar,,,,,,,,,,,,,
IKBJ,yellow,2019-11-11 19:27:02,computer architecture,searchbox,,,,,,,,,,,,,
ROGI,blue,2019-11-11 19:27:03,Machine learning,remove,,,,,,,,,,,,,
NP3J,green,2019-11-11 19:27:04,artificial intelligence,searchbox,,,,,,,,,,,,,
5ITM,green,2019-11-11 19:27:04,artificial intelligence,searchbox,,,,,,,,,,,,,
