User_ID,Team,Timestamp,Researcher_name,Positiion_in_list,Query,Number_of_keywords
G9T5,yellow,11/11/19 19:25,martin herbordt,1,computer architecture,0
SK9V,green,11/11/19 19:26,aaron sloman,3,artificial intelligence,0
G9T5,yellow,11/11/19 19:26,eric li,2,computer architecture faculty,0
C2MH,red,11/11/19 19:26,bruce buchanan,4,Artificial intelligence,1
NOSO,yellow,11/11/19 19:26,martin herbordt,1,computer architecture advisor,0
DU58,green,11/11/19 19:26,gianni a. di caro,1,artificial intelligence,0
JNMM,red,11/11/19 19:26,tushar chandra,1,"Evidence based medicine,Health care,Mental disorder,Machine learning",4
C2MH,red,11/11/19 19:26,peter norvig,2,Artificial intelligence,1
JNMM,red,11/11/19 19:26,evgeniy gabrilovich,1,"Evidence based medicine,Health care,Mental disorder",3
ES3R,yellow,11/11/19 19:26,martin herbordt,1,computer architecture,0
ZCNM,yellow,11/11/19 19:26,jean-philippe vert,10,biology,0
M3VR,blue,11/11/19 19:26,john hennessy,1,Computer architecture,1
DJEG,yellow,11/11/19 19:26,martin herbordt,1,human computer interaction,0
ES3R,yellow,11/11/19 19:26,eric li,2,computer architecture,0
ZCNM,yellow,11/11/19 19:26,hiroaki kitano,4,biology,0
OAEG,blue,11/11/19 19:26,john hennessy,1,Computer architecture,1
01UI,green,11/11/19 19:26,prabhas chongstitvatana,4,artificial intelligence,0
WOTF,green,11/11/19 19:27,gianni a. di caro,1,artificial intelligence,0
ZUMP,blue,11/11/19 19:27,john hennessy,1,Computer architecture,1
IKBJ,yellow,11/11/19 19:27,martin herbordt,1,computer architecture,0
OJWB,red,11/11/19 19:27,eyke h llermeier,3,Machine learning,1
SK9V,green,11/11/19 19:27,alcherio martinoli,2,artificial intelligence,0
DU58,green,11/11/19 19:27,timothy baldwin,9,artificial intelligence,0
JNMM,red,11/11/19 19:27,reid g. smith,1,"Evidence based medicine,Health care,Mental disorder,Artificial intelligence",4
ZUMP,blue,11/11/19 19:27,karthikeyan sankaralingam,2,Computer architecture,1
QDRT,green,11/11/19 19:27,felipe mg fran a,1,artificial intellegence,0
5ITM,green,11/11/19 19:27,gianni a. di caro,1,artificial intelligence,0
JNMM,red,11/11/19 19:27,peter norvig,2,"Evidence based medicine,Health care,Mental disorder,Artificial intelligence",4
NP3J,green,11/11/19 19:27,gianni a. di caro,1,artificial intelligence,0
C2MH,red,11/11/19 19:27,reid g. smith,1,Artificial intelligence,1
M3VR,blue,11/11/19 19:27,john hennessy,1,Computer architecture,1
ROGI,blue,11/11/19 19:27,george e. dahl,1,"Computer architecture,Deep learning,Neural network",3
5ITM,green,11/11/19 19:27,alcherio martinoli,2,artificial intelligence,0
D49Q,red,11/11/19 19:27,reid g. smith,1,"Human–computer interaction,Artificial intelligence",2
01UI,green,11/11/19 19:27,nuno lau,5,artificial intelligence,0
2H6O,red,11/11/19 19:27,ian vince mcloughlin,1,"Spoken language,Language identification",2
C2MH,red,11/11/19 19:27,aaron sloman,3,Artificial intelligence,1
ES3R,yellow,11/11/19 19:27,milos prvulovic,3,computer architecture,0
C2MH,red,11/11/19 19:27,bruce buchanan,4,Artificial intelligence,1
WOTF,green,11/11/19 19:27,gianni a. di caro,1,artificial intelligence,0
5ITM,green,11/11/19 19:27,aaron sloman,3,artificial intelligence,0
CVVU,yellow,11/11/19 19:27,martin herbordt,1,computer architecture,0
QDRT,green,11/11/19 19:27,feyzullah temurtas,3,artificial intellegence,0
C2MH,red,11/11/19 19:27,zhi-hua zhou,2,"Artificial intelligence,Machine learning",2
NP3J,green,11/11/19 19:27,alcherio martinoli,2,artificial intelligence,0
CVVU,yellow,11/11/19 19:27,martin herbordt,1,computer architecture,0
G9T5,yellow,11/11/19 19:27,james m. conrad,3,computer engineering,0
LKLR,green,11/11/19 19:27,evgeniy gabrilovich,2,information visualization,0
QDRT,green,11/11/19 19:27,imran s haque,4,artificial intellegence,0
8IVJ,yellow,11/11/19 19:27,igor l. markov,1,website design,0
ES3R,yellow,11/11/19 19:27,kamakoti veezhinathan,6,computer architecture,0
5MGY,yellow,11/11/19 19:27,martin herbordt,1,computer architecture,0
NP3J,green,11/11/19 19:27,gianni a. di caro,1,artificial intelligence,0
M3VR,blue,11/11/19 19:27,james c. hoe,12,Computer architecture,1
D49Q,red,11/11/19 19:27,philip r. cohen,4,"Human–computer interaction,Artificial intelligence",2
C2MH,red,11/11/19 19:27,zhi-hua zhou,1,Machine learning,1
SK9V,green,11/11/19 19:28,gianni a. di caro,1,artificial intelligence,0
ROGI,blue,11/11/19 19:28,karthikeyan sankaralingam,2,Computer architecture,1
C2MH,red,11/11/19 19:28,tushar chandra,2,Machine learning,1
2H6O,red,11/11/19 19:28,david warde-farley,2,"Spoken language,Language identification,Neural network,Deep learning",4
9P3N,green,11/11/19 19:28,gianni a. di caro,1,artificial intelligence,0
D49Q,red,11/11/19 19:28,peter norvig,2,"Human–computer interaction,Artificial intelligence",2
QDRT,green,11/11/19 19:28,felipe mg fran a,1,artificial intellegence,0
01UI,green,11/11/19 19:28,reid g. smith,14,artificial intelligence,0
5MGY,yellow,11/11/19 19:28,eric li,2,computer architecture,0
D49Q,red,11/11/19 19:28,aaron sloman,3,"Human–computer interaction,Artificial intelligence",2
ZUMP,blue,11/11/19 19:28,karthikeyan sankaralingam,2,Computer architecture,1
ES3R,yellow,11/11/19 19:28,marisa lopez-vallejo,4,computer architecture,0
