User_ID,Team,Timestamp,Keywords,All_Sliders
ROGI,blue,11/11/19 19:25,Computer architecture,Computer architecture:10
BBRP,blue,11/11/19 19:26,Computer science,"Computer science:6,Machine learning:5,Artificial intelligence:5,Visual analytics:5"
BBRP,blue,11/11/19 19:26,Machine learning,"Computer science:6,Machine learning:6,Artificial intelligence:5,Visual analytics:5"
OAEG,blue,11/11/19 19:26,Computer architecture,Computer architecture:8
ROGI,blue,11/11/19 19:26,Computer architecture,"Computer architecture:5,Machine learning:5"
ROGI,blue,11/11/19 19:26,Computer architecture,"Computer architecture:10,Machine learning:5"
OJWB,red,11/11/19 19:26,Machine learning,Machine learning:7
ROGI,blue,11/11/19 19:26,Machine learning,"Computer architecture:10,Machine learning:3"
ROGI,blue,11/11/19 19:27,Deep learning,"Computer architecture:10,Deep learning:6"
ROGI,blue,11/11/19 19:27,Neural network,"Computer architecture:10,Deep learning:6,Neural network:8"
45UW,blue,11/11/19 19:27,Computer architecture,Computer architecture:9
OH12,red,11/11/19 19:27,Artificial intelligence,Artificial intelligence:9
2H6O,red,11/11/19 19:27,Language identification,"Spoken language:5,Language identification:7,Neural network:5"
2H6O,red,11/11/19 19:28,Deep learning,"Spoken language:5,Language identification:7,Neural network:5,Deep learning:7"
OAEG,blue,11/11/19 19:28,Computer architecture,Computer architecture:10
OAEG,blue,11/11/19 19:28,Computer architecture,Computer architecture:8
9HVH,red,11/11/19 19:28,Artificial intelligence,Artificial intelligence:7
9HVH,red,11/11/19 19:28,Artificial intelligence,Artificial intelligence:9
OH12,red,11/11/19 19:28,Machine learning,"Artificial intelligence:9,Machine learning:7"
9HVH,red,11/11/19 19:28,Machine learning,"Artificial intelligence:9,Machine learning:8"
TDFS,blue,11/11/19 19:28,Network monitoring,Network monitoring:9
9HVH,red,11/11/19 19:28,Deep learning,"Artificial intelligence:9,Machine learning:8,Deep learning:2"
FDGO,red,11/11/19 19:29,Artificial intelligence,Artificial intelligence:9
LHQ5,blue,11/11/19 19:29,Computer architecture,Computer architecture:10
FDGO,red,11/11/19 19:29,Artificial intelligence,Artificial intelligence:3
FDGO,red,11/11/19 19:29,Artificial intelligence,Artificial intelligence:9
LHQ5,blue,11/11/19 19:29,Computer architecture,Computer architecture:5
HSWX,blue,11/11/19 19:29,Network monitoring,"Network monitoring:8,Computer security:5,Hardware security:5"
HSWX,blue,11/11/19 19:29,Network monitoring,"Network monitoring:9,Computer security:5,Hardware security:5"
N7P0,red,11/11/19 19:29,Artificial intelligence,"Virtual reality:5,Artificial intelligence:8,Machine learning:5,Deep learning:5"
C5ZL,blue,11/11/19 19:29,Computer architecture,Computer architecture:4
C5ZL,blue,11/11/19 19:29,Computer architecture,Computer architecture:8
HSWX,blue,11/11/19 19:29,Computer security,"Network monitoring:9,Computer security:3,Hardware security:5"
N7P0,red,11/11/19 19:29,Virtual reality,"Virtual reality:3,Artificial intelligence:8,Machine learning:5,Deep learning:5"
TDFS,blue,11/11/19 19:29,Network monitoring,"Network monitoring:5,Wireless network:5"
N7P0,red,11/11/19 19:29,Machine learning,"Virtual reality:3,Artificial intelligence:8,Machine learning:7,Deep learning:5"
HSWX,blue,11/11/19 19:29,Computer security,"Network monitoring:9,Computer security:7,Hardware security:5"
9HVH,red,11/11/19 19:29,Pattern recognition,"Artificial intelligence:9,Machine learning:8,Deep learning:2,Pattern recognition:6"
HSWX,blue,11/11/19 19:29,Computer security,"Network monitoring:9,Computer security:8,Hardware security:5"
N7P0,red,11/11/19 19:29,Deep learning,"Virtual reality:3,Artificial intelligence:8,Machine learning:7,Deep learning:6"
HSWX,blue,11/11/19 19:29,Hardware security,"Network monitoring:9,Computer security:8,Hardware security:4"
HSWX,blue,11/11/19 19:29,Hardware security,"Network monitoring:9,Computer security:8,Hardware security:3"
OAEG,blue,11/11/19 19:30,Data warehouse,"Computer architecture:8,Data warehouse:7"
LHQ5,blue,11/11/19 19:30,Big data,"Computer architecture:5,Big data:7,Machine learning:5"
LHQ5,blue,11/11/19 19:30,Big data,"Computer architecture:5,Big data:10,Machine learning:5"
LHQ5,blue,11/11/19 19:30,Big data,"Computer architecture:5,Big data:8,Machine learning:5"
45UW,blue,11/11/19 19:30,Computer architecture,"Computer architecture:8,Parallel computing:5,Operating system:5"
OAEG,blue,11/11/19 19:30,Data management,"Computer architecture:8,Data warehouse:7,Data management:6"
2H6O,red,11/11/19 19:30,Deep learning,"Spoken language:5,Language identification:7,Neural network:5,Deep learning:6,Machine learning:5"
2H6O,red,11/11/19 19:30,Deep learning,"Spoken language:5,Language identification:7,Neural network:5,Deep learning:7,Machine learning:5"
OAEG,blue,11/11/19 19:30,Computer architecture,"Computer architecture:5,Data warehouse:7,Data management:6"
LHQ5,blue,11/11/19 19:30,Big data,"Computer architecture:5,Big data:5,Machine learning:5"
TDFS,blue,11/11/19 19:30,Network monitoring,Network monitoring:6
OAEG,blue,11/11/19 19:30,Computer architecture,"Computer architecture:10,Data warehouse:7,Data management:6"
2H6O,red,11/11/19 19:30,Machine learning,"Spoken language:5,Language identification:7,Neural network:5,Deep learning:7,Machine learning:7"
2H6O,red,11/11/19 19:30,Machine learning,"Spoken language:5,Language identification:7,Neural network:5,Deep learning:7,Machine learning:5"
2H6O,red,11/11/19 19:30,Machine learning,"Spoken language:5,Language identification:7,Neural network:5,Deep learning:7,Machine learning:6"
OAEG,blue,11/11/19 19:30,Data warehouse,"Computer architecture:10,Data warehouse:5,Data management:6"
OAEG,blue,11/11/19 19:30,Data management,"Computer architecture:10,Data warehouse:5,Data management:7"
TDFS,blue,11/11/19 19:30,Network monitoring,"Network monitoring:8,Wireless network:5"
TDFS,blue,11/11/19 19:30,Wireless network,"Network monitoring:8,Wireless network:7"
OH12,red,11/11/19 19:30,Neural network,"Artificial intelligence:9,Machine learning:7,Deep learning:5,Neural network:4"
TDFS,blue,11/11/19 19:30,Wireless network,"Network monitoring:8,Wireless network:8"
OH12,red,11/11/19 19:30,Neural network,"Artificial intelligence:9,Machine learning:7,Deep learning:5,Neural network:3"
2H6O,red,11/11/19 19:30,Spoken language,"Spoken language:7,Language identification:7,Neural network:5,Deep learning:7,Machine learning:6"
2H6O,red,11/11/19 19:30,Spoken language,"Spoken language:6,Language identification:7,Neural network:5,Deep learning:7,Machine learning:6"
TDFS,blue,11/11/19 19:30,Computer security,"Network monitoring:8,Wireless network:8,Computer security:7"
TDFS,blue,11/11/19 19:31,Computer security,"Network monitoring:8,Wireless network:8,Computer security:9"
TDFS,blue,11/11/19 19:31,Computer security,"Network monitoring:8,Wireless network:8,Computer security:7"
LHQ5,blue,11/11/19 19:31,Big data,"Computer architecture:5,Big data:7,Machine learning:5,Data analysis:5"
TDFS,blue,11/11/19 19:31,Computer security,"Network monitoring:8,Wireless network:8,Computer security:8"
TDFS,blue,11/11/19 19:31,Network monitoring,"Network monitoring:10,Wireless network:8,Computer security:8"
TDFS,blue,11/11/19 19:31,Wireless network,"Network monitoring:10,Wireless network:10,Computer security:8"
TDFS,blue,11/11/19 19:31,Computer security,"Network monitoring:10,Wireless network:10,Computer security:10"
9HVH,red,11/11/19 19:31,Artificial intelligence,"Artificial intelligence:10,Machine learning:8,Deep learning:2,Pattern recognition:6,Feature learning:5"
C5ZL,blue,11/11/19 19:31,Programming language,"Computer architecture:8,Programming language:7,Instruction scheduling:5,Parallel computing:5,Embedded system:5"
C5ZL,blue,11/11/19 19:31,Instruction scheduling,"Computer architecture:8,Programming language:7,Instruction scheduling:4,Parallel computing:5,Embedded system:5"
9HVH,red,11/11/19 19:31,Machine learning,"Artificial intelligence:10,Machine learning:4,Deep learning:2,Pattern recognition:6,Feature learning:5"
C5ZL,blue,11/11/19 19:31,Parallel computing,"Computer architecture:8,Programming language:7,Instruction scheduling:4,Parallel computing:8,Embedded system:5"
9HVH,red,11/11/19 19:31,Deep learning,"Artificial intelligence:10,Machine learning:4,Deep learning:10,Pattern recognition:6,Feature learning:5"
C5ZL,blue,11/11/19 19:31,Embedded system,"Computer architecture:8,Programming language:7,Instruction scheduling:4,Parallel computing:8,Embedded system:8"
N7P0,red,11/11/19 19:31,Game design,"Artificial intelligence:8,Machine learning:7,Deep learning:6,Game design:7"
N7P0,red,11/11/19 19:31,Game design,"Artificial intelligence:8,Machine learning:7,Deep learning:6,Game design:9"
N7P0,red,11/11/19 19:31,Artificial intelligence,"Artificial intelligence:5,Machine learning:7,Deep learning:6,Game design:9"
N7P0,red,11/11/19 19:31,Machine learning,"Artificial intelligence:5,Machine learning:5,Deep learning:6,Game design:9"
N7P0,red,11/11/19 19:31,Deep learning,"Artificial intelligence:5,Machine learning:5,Deep learning:4,Game design:9"
HSWX,blue,11/11/19 19:31,Mobile malware,"Network monitoring:9,Computer security:8,Hardware security:3,Mobile malware:8"
DJEG,yellow,11/11/19 19:31,Artificial intelligence,"Artificial intelligence:10,Machine learning:5"
HSWX,blue,11/11/19 19:32,Computer security,"Network monitoring:9,Computer security:3,Hardware security:3,Mobile malware:8"
HSWX,blue,11/11/19 19:32,Network monitoring,"Network monitoring:1,Computer security:3,Hardware security:3,Mobile malware:8"
HSWX,blue,11/11/19 19:32,Network monitoring,"Network monitoring:3,Computer security:3,Hardware security:3,Mobile malware:8"
OAEG,blue,11/11/19 19:32,Data science,"Computer architecture:10,Data management:7,Data science:6"
G9T5,yellow,11/11/19 19:32,Computer architecture,"Artificial intelligence:5,Machine learning:5,Computer architecture:8"
G9T5,yellow,11/11/19 19:32,Artificial intelligence,"Artificial intelligence:10,Machine learning:5"
G9T5,yellow,11/11/19 19:32,Artificial intelligence,"Artificial intelligence:8,Machine learning:5"
FGGG,blue,11/11/19 19:32,Information science,Information science:9
9HVH,red,11/11/19 19:32,Deep learning,"Artificial intelligence:10,Machine learning:4,Deep learning:2,Pattern recognition:6"
9HVH,red,11/11/19 19:32,Pattern recognition,"Artificial intelligence:10,Machine learning:4,Deep learning:2,Pattern recognition:10"
9HVH,red,11/11/19 19:32,Artificial intelligence,"Artificial intelligence:5,Machine learning:4,Deep learning:2,Pattern recognition:10"
9HVH,red,11/11/19 19:32,Machine learning,"Artificial intelligence:5,Machine learning:6,Deep learning:2,Pattern recognition:10"
